function,category,original_line,current_line,cpp_locations
function_4159f0,unchanged_decompiled_body,34494,33833,
function_415b00,unchanged_decompiled_body,34533,33872,
function_48afc0,original_short_body,34540,33879,src/squirrel/squirrel_legacy_api.cpp:208
function_415b50,original_short_body,34550,33889,
function_415b80,unchanged_decompiled_body,34558,33897,
function_415c50,unchanged_decompiled_body,34592,33931,
function_415e20,modified_nonempty_body,34945,34284,
function_415ea0,modified_nonempty_body,34955,34294,
function_415f60,modified_nonempty_body,34982,34321,
function_415fd0,unchanged_decompiled_body,35004,34343,
function_416427,original_short_body,35253,34592,
function_41642d,original_short_body,35259,34598,
function_416440,unchanged_decompiled_body,35267,34606,
function_416510,unchanged_decompiled_body,35328,34667,
function_416700,unchanged_decompiled_body,35451,34790,
function_416790,modified_nonempty_body,35489,34828,
function_416b8d,original_short_body,35596,34937,
function_416b93,unchanged_decompiled_body,35602,34943,
function_416b98,original_short_body,35609,34950,
function_416ba0,unchanged_decompiled_body,35615,34956,
function_416bd0,unchanged_decompiled_body,35626,34967,
function_416bf0,unchanged_decompiled_body,35642,34983,
function_416c50,unchanged_decompiled_body,35666,35007,
function_416c60,unchanged_decompiled_body,35675,35016,
function_416ce0,unchanged_decompiled_body,35715,35056,
function_416d60,original_short_body,35755,35096,
function_416d70,original_short_body,35761,35102,
function_416d80,original_short_body,35767,35108,
function_416d90,original_short_body,35773,35114,
function_416da0,original_short_body,35779,35120,
function_416db0,unchanged_decompiled_body,35785,35126,
function_416de0,unchanged_decompiled_body,35801,35142,
function_416ec0,unchanged_decompiled_body,35903,35244,
function_416fa0,unchanged_decompiled_body,36019,35360,
function_416fd0,unchanged_decompiled_body,36030,35371,
function_417000,unchanged_decompiled_body,36041,35382,
function_417010,unchanged_decompiled_body,36048,35389,
function_417100,unchanged_decompiled_body,36097,35438,
function_4173c0,original_short_body,36227,35568,
function_4173d0,modified_nonempty_body,36233,35574,
function_417420,original_short_body,36250,35591,
function_417430,unchanged_decompiled_body,36256,35597,
function_4174f0,unchanged_decompiled_body,36279,35620,
function_4175f0,unchanged_decompiled_body,36304,35645,
function_417a00,unchanged_decompiled_body,36675,36016,
function_417a30,modified_nonempty_body,36688,36029,
function_417c90,unchanged_decompiled_body,37011,36352,
function_417d00,unchanged_decompiled_body,37045,36386,
function_417d30,unchanged_decompiled_body,37062,36403,
function_417d70,unchanged_decompiled_body,37080,36421,
function_417da0,unchanged_decompiled_body,37093,36434,
function_417dd0,unchanged_decompiled_body,37107,36448,
function_417e30,unchanged_decompiled_body,37136,36477,
function_417e50,unchanged_decompiled_body,37147,36488,
function_417ee0,unchanged_decompiled_body,37198,36539,
function_4180a0,unchanged_decompiled_body,37327,36668,
function_4180c0,unchanged_decompiled_body,37339,36680,
function_4180e0,modified_nonempty_body,37351,36692,
function_418370,unchanged_decompiled_body,37745,37086,
function_418400,unchanged_decompiled_body,37809,37150,
function_418410,unchanged_decompiled_body,37816,37157,
function_418430,unchanged_decompiled_body,37825,37166,
function_418480,unchanged_decompiled_body,37859,37200,
function_4184d0,unchanged_decompiled_body,37878,37219,
function_4184e0,unchanged_decompiled_body,37885,37226,
function_4184f0,unchanged_decompiled_body,37892,37233,
function_418500,modified_nonempty_body,37899,37240,
function_4185b0,unchanged_decompiled_body,37967,37308,
function_418660,unchanged_decompiled_body,38001,37342,
function_418750,unchanged_decompiled_body,38047,37388,
function_418820,unchanged_decompiled_body,38193,37534,
function_418880,unchanged_decompiled_body,38227,37568,
function_4188e0,unchanged_decompiled_body,38246,37587,
function_418980,unchanged_decompiled_body,38382,37723,
function_4189d0,unchanged_decompiled_body,38434,37775,
function_4189f0,unchanged_decompiled_body,38441,37782,
function_418a10,unchanged_decompiled_body,38450,37791,
function_418a20,unchanged_decompiled_body,38459,37800,
function_418a30,modified_nonempty_body,38468,37809,
function_418a80,modified_nonempty_body,38488,37829,
function_418ad0,modified_nonempty_body,38508,37849,
function_418b20,unchanged_decompiled_body,38528,37869,
function_418b70,unchanged_decompiled_body,38546,37887,
function_418bd0,unchanged_decompiled_body,38584,37925,
function_418bf0,unchanged_decompiled_body,38591,37932,
function_418c10,unchanged_decompiled_body,38599,37940,
function_418cc0,unchanged_decompiled_body,38634,37975,
function_418d20,unchanged_decompiled_body,38705,38046,
function_418e60,unchanged_decompiled_body,38814,38155,
function_418fa0,unchanged_decompiled_body,38860,38201,
function_4190e0,unchanged_decompiled_body,38906,38247,
function_419150,unchanged_decompiled_body,38920,38261,
function_419290,unchanged_decompiled_body,39029,38370,
function_4192d0,unchanged_decompiled_body,39041,38382,
function_4192e0,unchanged_decompiled_body,39049,38390,
function_419450,unchanged_decompiled_body,39169,38510,
function_419510,unchanged_decompiled_body,39243,38584,
function_4195d0,original_short_body,39279,38620,
function_4195f0,unchanged_decompiled_body,39285,38626,
function_419740,unchanged_decompiled_body,39445,38786,
function_419970,unchanged_decompiled_body,39710,39051,
function_419a8f,unchanged_decompiled_body,39775,39116,
function_419aa0,unchanged_decompiled_body,39782,39123,
function_419b00,unchanged_decompiled_body,39813,39154,
function_419c50,unchanged_decompiled_body,39869,39210,
function_419ce0,unchanged_decompiled_body,39890,39231,
function_419d10,unchanged_decompiled_body,39898,39239,
function_419d30,original_short_body,39907,39248,
function_419d40,unchanged_decompiled_body,39913,39254,
function_419dd0,unchanged_decompiled_body,39934,39275,
function_419e49,unchanged_decompiled_body,39957,39298,
function_419f50,unchanged_decompiled_body,39986,39327,
function_41a010,unchanged_decompiled_body,40007,39348,
function_41a1c0,original_short_body,40048,39389,
function_41a1d0,unchanged_decompiled_body,40054,39395,
function_41a310,unchanged_decompiled_body,40108,39449,
function_41a350,modified_nonempty_body,40121,39462,
function_41a3f0,modified_nonempty_body,40143,39484,
function_41a420,unchanged_decompiled_body,40157,39498,
function_41a480,unchanged_decompiled_body,40175,39516,
